Actor,Movie,Year of Release,Awards,Rotten Tomatoes Rating,Filmography Type
Denzel Washington,The Godfather Part II,2000,No Awards,52%,Series
Tom Hanks,The Wolf of Wall Street,1999,No Awards,89%,Series
Leonardo DiCaprio,The Wolf of Wall Street,2011,Screen Actors Guild,53%,Series
Brad Pitt,Fight Club,2001,Screen Actors Guild,65%,Movie
Meryl Streep,Lucy,2014,No Awards,63%,Series
Robert De Niro,The Silence of the Lambs,2009,Screen Actors Guild,72%,Series
Brad Pitt,Ocean's Eleven,1984,No Awards,76%,Series
Scarlett Johansson,The Silence of the Lambs,1997,Oscar,44%,Series
Leonardo DiCaprio,The Matrix,1993,No Awards,46%,Series
Brad Pitt,Pulp Fiction,2008,BAFTA,72%,Series
Sandra Bullock,Forrest Gump,1987,BAFTA,47%,Movie
Brad Pitt,Ocean's Eleven,2003,BAFTA,71%,Movie
Meryl Streep,Lucy,1988,Critics Choice,40%,Movie
Morgan Freeman,The Iron Lady,1991,Golden Globe,58%,Series
Tom Hanks,The Wolf of Wall Street,2004,Oscar,84%,Series
Brad Pitt,Se7en,1989,BAFTA,79%,Series
Meryl Streep,Pulp Fiction,2013,Golden Globe,59%,Series
Leonardo DiCaprio,Gravity,2023,Screen Actors Guild,85%,Series
Scarlett Johansson,Gravity,1980,No Awards,83%,Series
Tom Hanks,Pulp Fiction,2011,Golden Globe,47%,Movie
Denzel Washington,Pulp Fiction,2022,Critics Choice,73%,Movie
Meryl Streep,The Iron Lady,1998,BAFTA,40%,Series
Morgan Freeman,Forrest Gump,1994,No Awards,40%,Movie
Denzel Washington,The Departed,1986,Oscar,63%,Movie
Natalie Portman,Gravity,2020,Critics Choice,92%,Movie
Robert De Niro,Gravity,2018,Oscar,96%,Series
Natalie Portman,Training Day,2022,Critics Choice,62%,Series
Scarlett Johansson,The Matrix,2005,Golden Globe,71%,Movie
Sandra Bullock,Fight Club,1987,No Awards,49%,Series
Sandra Bullock,Forrest Gump,2005,Screen Actors Guild,42%,Series
Morgan Freeman,The Matrix,2012,No Awards,71%,Movie
Leonardo DiCaprio,The Wolf of Wall Street,2016,Oscar,89%,Movie
Denzel Washington,Pulp Fiction,1998,No Awards,54%,Series
Brad Pitt,Forrest Gump,1996,Golden Globe,68%,Movie
Brad Pitt,The Departed,1993,No Awards,89%,Series
Robert De Niro,Training Day,2015,Screen Actors Guild,100%,Series
Leonardo DiCaprio,The Silence of the Lambs,2017,No Awards,87%,Series
Morgan Freeman,Fight Club,1998,Critics Choice,78%,Series
Leonardo DiCaprio,The Silence of the Lambs,2020,Screen Actors Guild,82%,Series
Denzel Washington,The Matrix,2011,Golden Globe,47%,Series
Denzel Washington,The Departed,1996,Critics Choice,97%,Movie
Scarlett Johansson,The Devil Wears Prada,1981,Critics Choice,87%,Movie
Denzel Washington,Gravity,2004,BAFTA,49%,Series
Sandra Bullock,Gravity,2002,BAFTA,94%,Series
Natalie Portman,The Godfather Part II,2007,No Awards,81%,Series
Scarlett Johansson,Fight Club,2010,Oscar,49%,Series
Robert De Niro,Forrest Gump,2003,No Awards,67%,Series
Leonardo DiCaprio,The Godfather Part II,2009,Screen Actors Guild,58%,Movie
Meryl Streep,Black Swan,1985,BAFTA,87%,Movie
Denzel Washington,Pulp Fiction,2010,Golden Globe,53%,Series
Morgan Freeman,The Devil Wears Prada,2023,No Awards,44%,Series
Scarlett Johansson,Se7en,1989,Critics Choice,72%,Movie
Denzel Washington,Fight Club,1983,BAFTA,96%,Movie
Sandra Bullock,Pulp Fiction,1985,Golden Globe,99%,Movie
Natalie Portman,Se7en,1989,Critics Choice,76%,Movie
Denzel Washington,Lucy,1993,No Awards,87%,Movie
Tom Hanks,The Iron Lady,1997,Oscar,48%,Series
Natalie Portman,The Matrix,2019,No Awards,74%,Movie
Morgan Freeman,Se7en,1980,No Awards,98%,Movie
Morgan Freeman,Titanic,1992,No Awards,81%,Series
Leonardo DiCaprio,Titanic,1985,No Awards,46%,Series
Leonardo DiCaprio,Black Swan,2018,Critics Choice,75%,Series
Robert De Niro,Ocean's Eleven,1988,Screen Actors Guild,56%,Series
Leonardo DiCaprio,Gravity,2016,Golden Globe,44%,Series
Tom Hanks,Forrest Gump,1987,No Awards,71%,Series
Meryl Streep,Black Swan,1999,Golden Globe,56%,Series
Robert De Niro,The Matrix,2008,Oscar,63%,Movie
Leonardo DiCaprio,The Matrix,1985,Oscar,41%,Movie
Denzel Washington,Lucy,1995,BAFTA,64%,Series
Sandra Bullock,Training Day,1989,Golden Globe,65%,Series
Natalie Portman,The Wolf of Wall Street,2020,Screen Actors Guild,40%,Movie
Morgan Freeman,The Wolf of Wall Street,2007,Critics Choice,85%,Series
Brad Pitt,Ocean's Eleven,2008,Critics Choice,78%,Series
Meryl Streep,Titanic,2022,Screen Actors Guild,74%,Movie
Leonardo DiCaprio,Fences,2016,No Awards,60%,Movie
Natalie Portman,Forrest Gump,2019,Oscar,49%,Movie
Brad Pitt,Training Day,2008,No Awards,47%,Series
Natalie Portman,Lucy,1982,Golden Globe,60%,Series
Meryl Streep,The Wolf of Wall Street,2000,Critics Choice,79%,Series
Denzel Washington,Forrest Gump,1995,Critics Choice,78%,Movie
Denzel Washington,Fences,1995,No Awards,47%,Series
Meryl Streep,The Silence of the Lambs,1986,Golden Globe,61%,Series
Meryl Streep,The Iron Lady,1985,No Awards,72%,Movie
Leonardo DiCaprio,Training Day,2017,Critics Choice,84%,Movie
Meryl Streep,Ocean's Eleven,1985,Oscar,73%,Series
Sandra Bullock,The Iron Lady,1986,Critics Choice,72%,Series
Natalie Portman,Pulp Fiction,2020,Screen Actors Guild,91%,Series
Meryl Streep,The Shawshank Redemption,2007,Golden Globe,51%,Movie
Sandra Bullock,The Silence of the Lambs,2006,Oscar,99%,Series
Robert De Niro,The Wolf of Wall Street,1986,Oscar,70%,Movie
Morgan Freeman,La La Land,1994,No Awards,74%,Movie
Robert De Niro,The Iron Lady,2019,Screen Actors Guild,62%,Movie
Sandra Bullock,Training Day,2011,BAFTA,85%,Series
Tom Hanks,Training Day,2021,Screen Actors Guild,77%,Movie
Tom Hanks,The Matrix,2019,No Awards,94%,Movie
Scarlett Johansson,The Shawshank Redemption,2009,Screen Actors Guild,57%,Series
Robert De Niro,Se7en,2006,BAFTA,42%,Series
Robert De Niro,The Iron Lady,2021,Critics Choice,97%,Movie
Tom Hanks,The Departed,1989,Critics Choice,59%,Movie
Morgan Freeman,Black Swan,1993,BAFTA,86%,Movie
Sandra Bullock,The Matrix,1989,No Awards,52%,Movie
Leonardo DiCaprio,The Devil Wears Prada,2000,Oscar,62%,Movie
Robert De Niro,The Iron Lady,1994,Critics Choice,95%,Movie
Denzel Washington,Lucy,1983,No Awards,60%,Series
Morgan Freeman,Training Day,1995,Critics Choice,90%,Series
Leonardo DiCaprio,La La Land,2004,Screen Actors Guild,61%,Movie
Meryl Streep,The Godfather Part II,2007,BAFTA,74%,Movie
Natalie Portman,The Shawshank Redemption,2003,BAFTA,41%,Series
Natalie Portman,Fight Club,1982,Screen Actors Guild,55%,Series
Denzel Washington,Fight Club,1993,Golden Globe,89%,Series
Morgan Freeman,Titanic,2007,Oscar,67%,Series
Sandra Bullock,Fences,2013,Screen Actors Guild,79%,Movie
Morgan Freeman,Training Day,2002,Golden Globe,56%,Series
Morgan Freeman,Fight Club,1997,Golden Globe,42%,Movie
Brad Pitt,The Iron Lady,1998,BAFTA,49%,Series
Robert De Niro,Gravity,1998,Oscar,95%,Movie
Tom Hanks,Ocean's Eleven,1996,Golden Globe,57%,Series
Leonardo DiCaprio,The Wolf of Wall Street,2017,No Awards,97%,Movie
Scarlett Johansson,La La Land,1996,Screen Actors Guild,44%,Series
Leonardo DiCaprio,Fight Club,1986,Oscar,48%,Series
Denzel Washington,Forrest Gump,1985,No Awards,96%,Series
Meryl Streep,The Godfather Part II,1999,No Awards,76%,Movie
Sandra Bullock,The Godfather Part II,1994,BAFTA,47%,Series
Sandra Bullock,The Shawshank Redemption,2023,Oscar,74%,Series
Scarlett Johansson,The Devil Wears Prada,2010,Oscar,98%,Movie
Leonardo DiCaprio,The Departed,1998,No Awards,45%,Movie
Meryl Streep,Titanic,2015,Oscar,70%,Movie
Robert De Niro,Fences,1999,Golden Globe,85%,Movie
Tom Hanks,The Godfather Part II,2012,No Awards,54%,Series
Meryl Streep,Forrest Gump,2007,Critics Choice,79%,Movie
Morgan Freeman,The Silence of the Lambs,1991,Screen Actors Guild,83%,Movie
Brad Pitt,Fences,1989,Oscar,93%,Series
Denzel Washington,The Silence of the Lambs,1999,BAFTA,41%,Series
Tom Hanks,Gravity,2008,Golden Globe,100%,Series
Leonardo DiCaprio,The Devil Wears Prada,2018,Oscar,87%,Movie
Meryl Streep,Titanic,2019,Critics Choice,91%,Movie
Brad Pitt,Forrest Gump,2023,Oscar,100%,Movie
Tom Hanks,Fight Club,1990,Screen Actors Guild,97%,Series
Morgan Freeman,The Silence of the Lambs,2009,Critics Choice,49%,Movie
Leonardo DiCaprio,The Departed,1993,Oscar,89%,Movie
Tom Hanks,Forrest Gump,2005,Screen Actors Guild,64%,Series
Leonardo DiCaprio,The Departed,1997,No Awards,54%,Movie
Natalie Portman,The Iron Lady,1993,Oscar,58%,Movie
Meryl Streep,Se7en,2018,Oscar,71%,Movie
Denzel Washington,Forrest Gump,2015,Oscar,84%,Series
Morgan Freeman,Black Swan,2003,BAFTA,53%,Series
Morgan Freeman,Pulp Fiction,2021,No Awards,51%,Movie
Natalie Portman,The Godfather Part II,1982,No Awards,87%,Movie
Natalie Portman,The Devil Wears Prada,1993,Screen Actors Guild,67%,Series
Scarlett Johansson,Gravity,2010,Critics Choice,92%,Movie
Denzel Washington,Fight Club,2004,Oscar,51%,Movie
Brad Pitt,The Silence of the Lambs,1980,No Awards,88%,Series
Tom Hanks,La La Land,1984,Critics Choice,66%,Movie
Tom Hanks,The Departed,2009,No Awards,91%,Series
Scarlett Johansson,Fight Club,2016,BAFTA,45%,Series
Robert De Niro,Se7en,1983,Critics Choice,48%,Series
Natalie Portman,Titanic,2022,Critics Choice,62%,Movie
Tom Hanks,The Silence of the Lambs,2005,No Awards,78%,Movie
Natalie Portman,The Wolf of Wall Street,2010,No Awards,45%,Series
Sandra Bullock,Titanic,2002,No Awards,90%,Movie
Sandra Bullock,The Devil Wears Prada,2020,Screen Actors Guild,52%,Movie
Natalie Portman,Forrest Gump,2023,No Awards,70%,Series
Meryl Streep,The Shawshank Redemption,2012,BAFTA,49%,Series
Scarlett Johansson,Titanic,2010,BAFTA,91%,Movie
Robert De Niro,Fences,1999,BAFTA,81%,Series
Meryl Streep,Gravity,1992,Critics Choice,51%,Movie
Meryl Streep,Forrest Gump,2018,BAFTA,69%,Series
Sandra Bullock,Ocean's Eleven,2018,Golden Globe,65%,Movie
Natalie Portman,Se7en,2010,No Awards,85%,Series
Scarlett Johansson,Forrest Gump,1994,Oscar,87%,Movie
Tom Hanks,Se7en,1987,Critics Choice,54%,Movie
Denzel Washington,The Shawshank Redemption,2023,BAFTA,82%,Series
Denzel Washington,Forrest Gump,2011,Screen Actors Guild,64%,Series
Brad Pitt,The Iron Lady,2000,Oscar,77%,Movie
Sandra Bullock,Se7en,2019,Screen Actors Guild,54%,Movie
Sandra Bullock,The Shawshank Redemption,2014,BAFTA,51%,Series
Leonardo DiCaprio,Titanic,2000,Golden Globe,61%,Movie
Sandra Bullock,Titanic,1991,Screen Actors Guild,66%,Movie
Scarlett Johansson,Pulp Fiction,1990,Oscar,81%,Movie
Natalie Portman,Titanic,2000,No Awards,48%,Movie
Meryl Streep,The Matrix,1995,Screen Actors Guild,56%,Series
Sandra Bullock,The Shawshank Redemption,1987,Critics Choice,85%,Movie
Morgan Freeman,The Matrix,1994,BAFTA,48%,Series
Robert De Niro,Titanic,2012,No Awards,57%,Series
Sandra Bullock,Black Swan,2010,Oscar,78%,Series
Tom Hanks,The Wolf of Wall Street,1999,Golden Globe,79%,Movie
Brad Pitt,The Silence of the Lambs,1997,Golden Globe,98%,Series
Denzel Washington,The Devil Wears Prada,1985,BAFTA,87%,Movie
Sandra Bullock,The Matrix,2014,BAFTA,95%,Series
Sandra Bullock,The Devil Wears Prada,1995,Oscar,90%,Series
Denzel Washington,Se7en,1990,Oscar,45%,Series
Tom Hanks,Training Day,2012,Critics Choice,50%,Movie
Leonardo DiCaprio,Black Swan,1994,Screen Actors Guild,49%,Movie
Brad Pitt,Lucy,2018,Golden Globe,63%,Movie
Morgan Freeman,Pulp Fiction,1980,Critics Choice,60%,Movie
Robert De Niro,Fight Club,2011,BAFTA,46%,Series
Robert De Niro,The Matrix,1995,BAFTA,82%,Movie
Morgan Freeman,Pulp Fiction,2002,No Awards,71%,Series
Brad Pitt,Titanic,1993,Screen Actors Guild,80%,Series
Brad Pitt,The Matrix,1981,Screen Actors Guild,49%,Series
Leonardo DiCaprio,The Shawshank Redemption,2016,No Awards,95%,Series
Sandra Bullock,Ocean's Eleven,2001,Golden Globe,85%,Movie
Sandra Bullock,The Matrix,2019,No Awards,65%,Movie
Meryl Streep,The Matrix,2010,Golden Globe,80%,Movie
Meryl Streep,La La Land,2015,Critics Choice,74%,Movie
Robert De Niro,Pulp Fiction,2003,Golden Globe,56%,Series
Natalie Portman,Ocean's Eleven,2006,No Awards,86%,Movie
Sandra Bullock,Forrest Gump,2017,Screen Actors Guild,71%,Movie
Denzel Washington,The Wolf of Wall Street,1998,Oscar,42%,Series
Meryl Streep,Se7en,2009,Screen Actors Guild,77%,Series
Leonardo DiCaprio,The Wolf of Wall Street,1983,Golden Globe,92%,Series
Natalie Portman,The Matrix,2007,Oscar,69%,Movie
Robert De Niro,The Wolf of Wall Street,2002,Screen Actors Guild,84%,Movie
Meryl Streep,The Iron Lady,2013,Golden Globe,100%,Series
Tom Hanks,Lucy,1990,Oscar,49%,Movie
Natalie Portman,La La Land,1996,Golden Globe,98%,Movie
Tom Hanks,Lucy,1987,Critics Choice,47%,Movie
Tom Hanks,Gravity,1991,No Awards,59%,Series
Leonardo DiCaprio,The Iron Lady,2008,No Awards,60%,Movie
Denzel Washington,Gravity,1989,Oscar,91%,Series
Morgan Freeman,Pulp Fiction,2016,Oscar,50%,Movie
Morgan Freeman,Black Swan,2001,BAFTA,43%,Movie
Tom Hanks,Lucy,1988,Golden Globe,66%,Series
Leonardo DiCaprio,Lucy,2018,Screen Actors Guild,99%,Series
Meryl Streep,The Iron Lady,1994,Critics Choice,56%,Movie
Morgan Freeman,Training Day,1988,Oscar,42%,Series
Morgan Freeman,Pulp Fiction,1999,Golden Globe,77%,Movie
Meryl Streep,The Iron Lady,1998,Oscar,86%,Movie
Brad Pitt,Training Day,1998,Oscar,91%,Movie
Scarlett Johansson,Lucy,2002,Oscar,68%,Movie
Robert De Niro,The Iron Lady,1994,No Awards,55%,Movie
Robert De Niro,The Devil Wears Prada,2016,Oscar,65%,Series
Morgan Freeman,La La Land,1991,Critics Choice,54%,Movie
Scarlett Johansson,Gravity,1982,No Awards,82%,Series
Brad Pitt,Gravity,1984,Oscar,59%,Series
Leonardo DiCaprio,Pulp Fiction,2008,Oscar,80%,Movie
Robert De Niro,Ocean's Eleven,2007,Critics Choice,83%,Movie
Tom Hanks,The Devil Wears Prada,1989,BAFTA,74%,Series
Robert De Niro,The Matrix,1981,BAFTA,69%,Series
Denzel Washington,The Godfather Part II,1989,Screen Actors Guild,55%,Series
Scarlett Johansson,Fences,2003,Screen Actors Guild,50%,Series
Brad Pitt,Pulp Fiction,1989,BAFTA,99%,Series
Natalie Portman,The Silence of the Lambs,2009,Screen Actors Guild,99%,Series
Tom Hanks,Black Swan,2020,Oscar,73%,Series
Sandra Bullock,The Departed,2005,No Awards,58%,Series
Tom Hanks,The Wolf of Wall Street,2013,Critics Choice,53%,Movie
Sandra Bullock,The Iron Lady,1987,Golden Globe,100%,Movie
Tom Hanks,Training Day,2020,Screen Actors Guild,45%,Movie
Natalie Portman,The Silence of the Lambs,2014,Critics Choice,41%,Movie
Natalie Portman,The Departed,1981,Screen Actors Guild,75%,Movie
Brad Pitt,Fight Club,2006,Screen Actors Guild,80%,Series
Brad Pitt,Fight Club,1990,Golden Globe,70%,Movie
Robert De Niro,Gravity,2017,BAFTA,71%,Movie
Denzel Washington,Gravity,1981,BAFTA,56%,Movie
Meryl Streep,Pulp Fiction,2003,BAFTA,77%,Series
Meryl Streep,The Silence of the Lambs,2012,Oscar,80%,Movie
Leonardo DiCaprio,Fight Club,2020,No Awards,42%,Series
Sandra Bullock,Se7en,2002,Critics Choice,42%,Series
Meryl Streep,Fences,2005,Golden Globe,95%,Series
Morgan Freeman,Lucy,1980,BAFTA,81%,Movie
Sandra Bullock,The Departed,2017,Critics Choice,96%,Movie
Natalie Portman,The Silence of the Lambs,1990,BAFTA,82%,Series
Tom Hanks,Pulp Fiction,2000,No Awards,67%,Movie
Tom Hanks,La La Land,2022,BAFTA,86%,Series
Brad Pitt,The Matrix,2016,Golden Globe,72%,Series
Leonardo DiCaprio,The Matrix,1981,Golden Globe,58%,Series
Brad Pitt,Fight Club,1991,Golden Globe,79%,Series
Robert De Niro,Forrest Gump,1986,Golden Globe,63%,Series
Sandra Bullock,The Devil Wears Prada,2009,No Awards,57%,Series
Denzel Washington,The Wolf of Wall Street,1986,No Awards,46%,Movie
Natalie Portman,The Iron Lady,2002,No Awards,79%,Movie
Tom Hanks,Forrest Gump,2015,BAFTA,57%,Series
Morgan Freeman,Fight Club,1998,Oscar,66%,Series
Robert De Niro,The Iron Lady,1996,Golden Globe,46%,Series
Robert De Niro,The Godfather Part II,1994,Critics Choice,77%,Movie
Scarlett Johansson,The Silence of the Lambs,1990,BAFTA,67%,Series
Natalie Portman,Gravity,1995,No Awards,55%,Movie
Denzel Washington,Titanic,1989,Golden Globe,77%,Movie
Leonardo DiCaprio,The Matrix,2021,Critics Choice,50%,Movie
Denzel Washington,The Devil Wears Prada,1983,Critics Choice,56%,Movie
Sandra Bullock,The Iron Lady,1991,Critics Choice,97%,Movie
Brad Pitt,The Shawshank Redemption,2009,No Awards,78%,Movie
Leonardo DiCaprio,The Silence of the Lambs,1982,BAFTA,47%,Movie
Sandra Bullock,The Matrix,2001,Golden Globe,58%,Series
Brad Pitt,Lucy,2005,Screen Actors Guild,47%,Movie
Denzel Washington,The Iron Lady,2014,Golden Globe,57%,Series
Morgan Freeman,Pulp Fiction,2009,Screen Actors Guild,87%,Series
Sandra Bullock,Training Day,1989,Golden Globe,89%,Movie
Robert De Niro,Ocean's Eleven,2004,Critics Choice,82%,Movie
Robert De Niro,The Silence of the Lambs,2005,Critics Choice,76%,Series
Denzel Washington,The Silence of the Lambs,1992,No Awards,100%,Series
Brad Pitt,Fences,2014,Critics Choice,96%,Movie
Denzel Washington,The Iron Lady,1987,Oscar,99%,Series
Denzel Washington,Gravity,1996,Critics Choice,43%,Movie
Robert De Niro,Black Swan,2000,Golden Globe,78%,Series
Leonardo DiCaprio,Pulp Fiction,1992,BAFTA,59%,Movie
Scarlett Johansson,The Departed,2005,Screen Actors Guild,84%,Movie
Tom Hanks,La La Land,2012,Screen Actors Guild,65%,Series
Natalie Portman,Pulp Fiction,2000,No Awards,88%,Movie
Leonardo DiCaprio,The Silence of the Lambs,2010,Screen Actors Guild,83%,Series
Sandra Bullock,Lucy,1992,Golden Globe,83%,Series
Denzel Washington,The Matrix,2011,No Awards,59%,Movie
Robert De Niro,The Shawshank Redemption,2013,No Awards,98%,Movie
Natalie Portman,The Matrix,1996,BAFTA,69%,Series
Scarlett Johansson,Fences,2015,Screen Actors Guild,65%,Movie
Tom Hanks,The Silence of the Lambs,2007,Golden Globe,77%,Series
Scarlett Johansson,Pulp Fiction,2021,Critics Choice,43%,Series
Denzel Washington,The Silence of the Lambs,1993,Golden Globe,53%,Movie
Morgan Freeman,Black Swan,1994,No Awards,80%,Movie
Robert De Niro,The Wolf of Wall Street,1992,Screen Actors Guild,60%,Movie
Robert De Niro,The Iron Lady,1982,Golden Globe,97%,Movie
Morgan Freeman,Gravity,1992,Screen Actors Guild,57%,Series
Denzel Washington,Gravity,2019,BAFTA,64%,Series
Scarlett Johansson,The Wolf of Wall Street,2004,Golden Globe,99%,Series
Sandra Bullock,The Departed,2014,Golden Globe,60%,Movie
Brad Pitt,Titanic,1991,Oscar,90%,Movie
Morgan Freeman,Fences,2013,Screen Actors Guild,40%,Movie
Meryl Streep,The Departed,2002,Critics Choice,100%,Series
Natalie Portman,Gravity,1998,Golden Globe,66%,Movie
Tom Hanks,La La Land,1998,Oscar,59%,Movie
Leonardo DiCaprio,Ocean's Eleven,1990,BAFTA,46%,Movie
Scarlett Johansson,Training Day,2016,Golden Globe,82%,Series
Meryl Streep,Training Day,1986,No Awards,74%,Movie
Scarlett Johansson,Black Swan,1989,Critics Choice,68%,Series
Morgan Freeman,The Shawshank Redemption,2013,No Awards,76%,Series
Denzel Washington,The Wolf of Wall Street,2019,Critics Choice,58%,Series
Morgan Freeman,The Devil Wears Prada,2020,BAFTA,82%,Movie
Scarlett Johansson,Titanic,1980,Critics Choice,67%,Movie
Denzel Washington,The Iron Lady,1980,BAFTA,65%,Movie
Robert De Niro,Se7en,1984,Oscar,92%,Series
Robert De Niro,The Departed,2020,Screen Actors Guild,93%,Movie
Morgan Freeman,Pulp Fiction,1989,Oscar,49%,Series
Robert De Niro,Forrest Gump,2004,Screen Actors Guild,65%,Movie
Natalie Portman,Se7en,2013,No Awards,80%,Movie
Leonardo DiCaprio,Forrest Gump,2007,Screen Actors Guild,86%,Series
Morgan Freeman,The Godfather Part II,1989,No Awards,69%,Series
Leonardo DiCaprio,The Shawshank Redemption,2021,Oscar,62%,Series
Tom Hanks,Gravity,2001,Oscar,80%,Movie
Brad Pitt,The Silence of the Lambs,2000,Golden Globe,95%,Movie
Scarlett Johansson,La La Land,2003,Golden Globe,68%,Series
Robert De Niro,Titanic,1980,Critics Choice,55%,Movie
Robert De Niro,Fences,2023,No Awards,73%,Series
Meryl Streep,Gravity,1990,Golden Globe,90%,Series
Tom Hanks,Black Swan,1996,Screen Actors Guild,52%,Series
Sandra Bullock,Fight Club,1980,BAFTA,62%,Series
Natalie Portman,The Iron Lady,2014,No Awards,48%,Movie
Robert De Niro,La La Land,1981,BAFTA,69%,Movie
Scarlett Johansson,Se7en,1996,BAFTA,99%,Movie
Meryl Streep,Fight Club,1982,Screen Actors Guild,57%,Series
Natalie Portman,The Shawshank Redemption,1992,Oscar,79%,Series
Tom Hanks,The Godfather Part II,1985,No Awards,62%,Series
Tom Hanks,Titanic,2012,No Awards,41%,Series
Robert De Niro,The Shawshank Redemption,2009,No Awards,63%,Series
Robert De Niro,The Silence of the Lambs,2009,Critics Choice,67%,Movie
Leonardo DiCaprio,Training Day,1984,BAFTA,100%,Movie
Brad Pitt,Gravity,1994,Critics Choice,92%,Movie
Meryl Streep,Gravity,1981,Critics Choice,82%,Movie
Robert De Niro,Fight Club,2017,Screen Actors Guild,45%,Series
Denzel Washington,The Devil Wears Prada,2023,Golden Globe,75%,Series
Brad Pitt,Training Day,2010,Oscar,63%,Series
Morgan Freeman,Titanic,1992,Screen Actors Guild,40%,Series
Brad Pitt,Se7en,2018,BAFTA,52%,Series
Sandra Bullock,Titanic,1987,Golden Globe,87%,Series
Sandra Bullock,La La Land,2010,BAFTA,60%,Series
Denzel Washington,The Departed,2008,Golden Globe,49%,Movie
Meryl Streep,Training Day,2016,Oscar,79%,Movie
Sandra Bullock,The Departed,2018,Oscar,85%,Series
Tom Hanks,Se7en,2021,No Awards,40%,Series
Natalie Portman,Lucy,2008,No Awards,42%,Movie
Robert De Niro,Gravity,2002,No Awards,42%,Series
Morgan Freeman,The Silence of the Lambs,1987,BAFTA,78%,Series
Meryl Streep,The Shawshank Redemption,1985,Critics Choice,40%,Series
Brad Pitt,Fences,1992,Critics Choice,44%,Series
Brad Pitt,Titanic,1983,Critics Choice,44%,Series
Tom Hanks,The Iron Lady,1995,Critics Choice,97%,Series
Brad Pitt,The Wolf of Wall Street,1991,No Awards,53%,Movie
Meryl Streep,The Iron Lady,1981,Oscar,72%,Series
Meryl Streep,Se7en,2001,Screen Actors Guild,87%,Movie
Denzel Washington,La La Land,1984,BAFTA,79%,Movie
Tom Hanks,Lucy,1988,Screen Actors Guild,99%,Series
Morgan Freeman,The Silence of the Lambs,1983,No Awards,82%,Series
Brad Pitt,Forrest Gump,2010,Critics Choice,87%,Series
Scarlett Johansson,Training Day,2013,Oscar,91%,Movie
Leonardo DiCaprio,The Shawshank Redemption,2007,Golden Globe,54%,Movie
Scarlett Johansson,Lucy,1980,Critics Choice,45%,Series
Sandra Bullock,The Departed,2009,Oscar,74%,Series
Robert De Niro,The Iron Lady,2023,Oscar,62%,Movie
Natalie Portman,Forrest Gump,1984,Golden Globe,45%,Series
Meryl Streep,Ocean's Eleven,1981,Critics Choice,65%,Movie
Sandra Bullock,Pulp Fiction,2001,Critics Choice,49%,Series
Tom Hanks,Forrest Gump,2012,BAFTA,71%,Movie
Sandra Bullock,Fences,1981,Critics Choice,59%,Movie
Denzel Washington,The Iron Lady,1980,Golden Globe,100%,Movie
Tom Hanks,Forrest Gump,2018,Oscar,51%,Series
Tom Hanks,Black Swan,2002,Golden Globe,51%,Series
Meryl Streep,Lucy,2011,Critics Choice,59%,Series
Sandra Bullock,Gravity,2017,Oscar,93%,Movie
Denzel Washington,Training Day,2000,BAFTA,71%,Series
Leonardo DiCaprio,The Godfather Part II,2010,Golden Globe,88%,Series
Leonardo DiCaprio,The Godfather Part II,2020,BAFTA,74%,Movie
Natalie Portman,Gravity,2007,No Awards,97%,Movie
Tom Hanks,Forrest Gump,2005,Screen Actors Guild,44%,Movie
Leonardo DiCaprio,La La Land,2008,No Awards,53%,Series
Sandra Bullock,Pulp Fiction,2018,Screen Actors Guild,97%,Movie
Meryl Streep,Training Day,2007,Golden Globe,87%,Movie
Morgan Freeman,Ocean's Eleven,1987,No Awards,75%,Series
Denzel Washington,La La Land,2015,Golden Globe,54%,Movie
Robert De Niro,Pulp Fiction,1995,Golden Globe,49%,Movie
Tom Hanks,Forrest Gump,1982,No Awards,68%,Movie
Robert De Niro,Black Swan,2021,Oscar,59%,Movie
Leonardo DiCaprio,Ocean's Eleven,2017,BAFTA,65%,Series
Denzel Washington,Pulp Fiction,2002,Oscar,41%,Series
Brad Pitt,Black Swan,2020,Oscar,82%,Series
Meryl Streep,Black Swan,2007,No Awards,86%,Movie
Denzel Washington,Gravity,1982,Golden Globe,78%,Movie
Sandra Bullock,La La Land,1996,Oscar,61%,Movie
Brad Pitt,Pulp Fiction,1987,Golden Globe,98%,Series
Brad Pitt,Gravity,2016,Screen Actors Guild,89%,Movie
Scarlett Johansson,The Wolf of Wall Street,2010,Golden Globe,46%,Movie
Natalie Portman,The Wolf of Wall Street,1995,Screen Actors Guild,63%,Series
Tom Hanks,Lucy,2002,Golden Globe,88%,Series
Denzel Washington,Gravity,2011,Oscar,55%,Series
Natalie Portman,Training Day,1995,BAFTA,41%,Series
Scarlett Johansson,The Wolf of Wall Street,1991,Golden Globe,50%,Movie
Tom Hanks,Black Swan,1980,Golden Globe,65%,Movie
Brad Pitt,Black Swan,1991,No Awards,83%,Movie
Tom Hanks,Fences,1994,Screen Actors Guild,49%,Movie
Morgan Freeman,The Silence of the Lambs,2017,Oscar,90%,Series
Meryl Streep,Pulp Fiction,1994,Golden Globe,81%,Series
Leonardo DiCaprio,The Devil Wears Prada,1982,No Awards,61%,Series
Morgan Freeman,Forrest Gump,1980,Screen Actors Guild,63%,Movie
Denzel Washington,Pulp Fiction,2007,Screen Actors Guild,48%,Series
Natalie Portman,The Iron Lady,1993,BAFTA,80%,Series
Sandra Bullock,Lucy,1993,BAFTA,48%,Series
